Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, SPOL , LETO;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 ; ;Spol - SKUPAJ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Priseljeni iz tujine;;;;;;;;;;;;;;;;;
 ;EVROPA;6008;7459;8817;8863;9850;14646;19620;28579;29922;29396;14731;13559;14485;13322;13334;14779
 ;  Albanija;4;20;23;26;12;18;21;16;17;34;10;7;19;11;10;18
 ;  Avstrija;25;48;27;33;29;145;94;102;136;107;89;93;93;53;65;52
 ;  Belgija;2;11;11;17;4;28;8;15;15;15;23;15;15;12;14;7
 ;  Bolgarija;12;12;23;37;48;40;79;790;484;539;606;727;742;685;809;662
 ;  Bosna in Hercegovina;2016;2360;2531;2105;2966;4307;7871;12479;13038;12910;4403;3387;4045;3846;3376;4694
 ;  Èeška republika;20;28;18;25;9;62;51;45;44;33;43;31;25;20;44;30
 ;  Èrna gora;...;...;...;...;...;...;...;83;134;113;87;80;76;76;76;67
 ;  Danska;0;0;9;10;8;17;6;12;4;11;5;4;6;3;4;3
 ;  Francija;28;24;41;58;32;140;129;80;78;68;72;66;63;92;44;50
 ;  Hrvaška;906;1102;1307;1282;798;992;1146;1400;1597;1442;928;945;1112;1197;1064;846
 ;  Italija;35;90;85;71;29;190;150;264;298;271;332;319;437;429;481;528
 ;  Kosovo;...;...;...;...;...;...;...;...;2169;3576;1888;1230;1359;1052;1299;1531
 ;  Madžarska;7;23;27;26;8;68;57;55;86;47;81;48;79;90;125;125
 ;  Makedonija;876;1049;1217;1559;1251;1678;2097;3163;3196;2987;1145;1016;1080;822;745;709
 ;  Nemèija;48;78;41;56;43;257;155;221;250;183;160;171;197;123;132;94
 ;  Nizozemska;5;22;21;24;5;51;31;31;26;34;25;34;28;24;19;15
 ;  Poljska;6;44;13;17;11;151;106;119;56;77;34;41;78;58;56;34
 ;  Romunija;25;53;49;43;124;303;323;199;141;69;83;85;80;193;123;67
 ;  Ruska federacija;58;131;135;112;62;88;63;112;132;165;110;138;241;341;492;639
 ;  Slovenija;935;1030;1432;1268;1574;1747;1765;1689;2631;2903;2711;3318;2741;2250;2535;2755
 ;  Srbija;660;880;1221;1499;2371;3324;4447;6368;4362;2907;1089;1174;1340;1414;1266;1251
 ;  Švedska;5;9;18;14;1;19;30;36;14;17;31;19;12;14;14;12
 ;  Švica;10;22;11;18;9;9;17;24;23;13;9;12;14;8;13;9
 ;  Ukrajina;192;231;269;247;341;372;357;471;440;354;261;203;223;182;223;303
 ;  Združeno kraljestvo;20;36;20;39;11;114;79;146;134;117;117;77;102;62;70;72
 ;  Druge države Evrope;113;156;268;277;104;526;538;659;417;404;389;319;278;265;235;206
 ;AFRIKA;8;12;18;24;28;31;32;35;63;55;74;63;68;67;86;82
 ;AZIJA;84;174;158;196;190;217;197;359;357;564;330;276;306;306;278;372
 ;JUŽNA AMERIKA;15;22;32;46;18;20;24;32;38;45;38;48;36;37;29;44
 ;SEVERNA IN SREDNJA AMERIKA;48;112;81;92;76;105;118;151;195;191;178;126;111;124;112;135
 ;  Kanada;5;7;4;8;5;8;14;16;22;14;11;14;10;4;7;11
 ;  Združene države;39;91;61;55;49;68;78;86;83;62;79;52;56;76;74;92
 ;  Druge države Severne in Srednje Amerike;4;14;16;29;22;29;26;49;90;115;88;60;45;44;31;32
 ;AVSTRALIJA IN OCEANIJA;12;20;6;19;9;18;17;18;20;23;17;11;16;15;7;8
 ;Neznana država;10;4;22;39;0;4;8;19;98;22;48;0;0;0;0;0
Odseljeni v tujino;;;;;;;;;;;;;;;;;
 ;EVROPA;3415;4610;7050;5634;8045;8437;13507;14487;11915;18435;15203;11669;14053;13076;14002;14589
 ;  Albanija;22;12;29;28;19;16;15;12;3;10;11;13;8;7;7;3
 ;  Avstrija;23;4;9;19;81;32;84;102;63;71;87;56;63;68;57;57
 ;  Belgija;1;7;8;13;9;9;14;7;7;13;12;12;8;20;7;17
 ;  Bolgarija;73;21;7;12;66;34;30;128;130;382;311;337;482;424;464;524
 ;  Bosna in Hercegovina;338;705;1323;630;1582;2351;3858;4258;3016;6658;4439;2626;1902;1387;1511;1553
 ;  Èeška republika;26;20;12;25;27;14;28;47;24;21;23;32;29;21;19;33
 ;  Èrna gora;...;...;...;...;...;...;...;15;22;61;57;37;35;38;29;31
 ;  Danska;0;5;0;11;12;3;8;15;0;8;4;6;1;4;1;10
 ;  Francija;36;22;17;26;89;36;95;122;61;45;75;52;40;60;63;55
 ;  Hrvaška;310;589;779;931;507;718;920;1153;555;751;828;582;627;743;944;759
 ;  Italija;41;61;15;2;43;22;87;160;137;173;171;180;177;201;263;258
 ;  Kosovo;...;...;...;...;...;...;...;...;84;1563;1820;951;682;399;409;516
 ;  Madžarska;4;10;26;20;23;8;68;26;38;52;37;81;33;55;62;73
 ;  Makedonija;259;784;1269;1202;938;580;1219;1551;806;1720;1359;676;563;479;460;409
 ;  Nemèija;23;29;2;21;121;10;100;175;127;123;136;96;92;124;82;112
 ;  Nizozemska;6;19;9;20;21;7;19;23;25;12;25;17;11;18;6;6
 ;  Poljska;6;33;4;15;18;47;117;79;43;47;40;21;37;42;42;69
 ;  Romunija;29;35;1;31;135;292;286;138;46;111;48;61;62;56;147;114
 ;  Ruska federacija;47;36;112;102;47;35;42;61;49;59;41;49;57;52;94;161
 ;  Slovenija;1559;1442;2624;1887;2265;2077;2703;3178;4766;3717;3905;4679;8191;7789;8129;8654
 ;  Srbija;471;437;485;359;1302;1639;2995;2358;1393;2207;1255;631;519;686;848;798
 ;  Švedska;3;2;5;10;10;0;12;33;9;11;18;18;13;18;10;18
 ;  Švica;1;21;2;11;4;1;8;14;15;5;7;10;8;6;11;10
 ;  Ukrajina;61;162;239;21;304;299;349;280;152;218;163;122;121;103;96;79
 ;  Združeno kraljestvo;9;30;24;80;43;25;49;71;51;77;77;65;78;76;56;55
 ;  Druge države Evrope;67;124;49;158;379;182;401;481;293;320;254;259;214;200;185;215
 ;AFRIKA;6;11;10;15;12;14;13;28;14;22;28;30;27;32;33;28
 ;AZIJA;37;67;116;136;96;87;130;228;78;156;239;204;179;152;198;182
 ;JUŽNA AMERIKA;9;24;17;21;10;10;10;22;7;17;27;22;24;21;15;20
 ;SEVERNA IN SREDNJA AMERIKA;41;46;51;51;43;45;85;159;68;125;123;88;85;94;73;78
 ;  Kanada;4;4;0;4;1;3;13;10;9;14;10;4;9;9;3;4
 ;  Združene države;36;38;49;26;37;28;58;125;42;64;42;44;39;48;52;58
 ;  Druge države Severne in Srednje Amerike;1;4;2;21;5;14;14;24;17;47;71;40;37;37;18;16
 ;AVSTRALIJA IN OCEANIJA;2;4;19;7;3;8;4;17;7;7;15;11;10;9;15;16
 ;Neznana država;60;49;6;3;60;4;0;2;20;26;302;0;0;0;0;0
;;;;;;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;
Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo ;;;;;;;;;;;;;;;;;
prebivalstva Slovenije, objavljeno leta 2008. ;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;
Do konca leta 2007 so podatki o odseljenih tujih državljanih ocena ;;;;;;;;;;;;;;;;;
Statistiènega urada Republike Slovenije.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;
